Date : 2021-01-24 19:28:49
Directory : c:\Users\sad sad\Desktop\React\app\src
Total : 93 files,  4915 codes, 208 comments, 525 blanks, all 5648 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\sad sad\Desktop\React\app\src\components\Form\index.js                      | JavaScript       |          7 |          0 |          3 |         10 |
| c:\Users\sad sad\Desktop\React\app\src\components\JobDetails\About.js                | JavaScript       |         39 |          0 |          9 |         48 |
| c:\Users\sad sad\Desktop\React\app\src\components\JobDetails\Attribute.js            | JavaScript       |         22 |          0 |          5 |         27 |
| c:\Users\sad sad\Desktop\React\app\src\components\JobDetails\Header.js               | JavaScript       |        234 |          0 |         13 |        247 |
| c:\Users\sad sad\Desktop\React\app\src\components\JobDetails\JobDetailStyles.js      | JavaScript       |         26 |          0 |          3 |         29 |
| c:\Users\sad sad\Desktop\React\app\src\components\JobDetails\Requirements.js         | JavaScript       |         28 |          0 |          5 |         33 |
| c:\Users\sad sad\Desktop\React\app\src\components\JobDetails\Responsibilities.js     | JavaScript       |         29 |          0 |          4 |         33 |
| c:\Users\sad sad\Desktop\React\app\src\components\JobDetails\Technologies.js         | JavaScript       |         39 |          0 |          8 |         47 |
| c:\Users\sad sad\Desktop\React\app\src\components\JobDetails\UserJob.js              | JavaScript       |         44 |          0 |          5 |         49 |
| c:\Users\sad sad\Desktop\React\app\src\components\Jobs\Attribute.js                  | JavaScript       |         25 |          0 |          5 |         30 |
| c:\Users\sad sad\Desktop\React\app\src\components\Jobs\JobEditor.js                  | JavaScript       |         43 |          0 |          5 |         48 |
| c:\Users\sad sad\Desktop\React\app\src\components\Jobs\JobList.js                    | JavaScript       |        145 |          0 |         13 |        158 |
| c:\Users\sad sad\Desktop\React\app\src\components\Loader\Loader.js                   | JavaScript       |         49 |          0 |          3 |         52 |
| c:\Users\sad sad\Desktop\React\app\src\components\Modal\Backdrop.js                  | JavaScript       |         18 |          0 |          4 |         22 |
| c:\Users\sad sad\Desktop\React\app\src\components\Modal\Modal.js                     | JavaScript       |         47 |          0 |          4 |         51 |
| c:\Users\sad sad\Desktop\React\app\src\components\Navbar\AccountMenu.js              | JavaScript       |         42 |          0 |          6 |         48 |
| c:\Users\sad sad\Desktop\React\app\src\components\Navbar\DropDownMenu.js             | JavaScript       |         85 |          1 |          8 |         94 |
| c:\Users\sad sad\Desktop\React\app\src\components\Navbar\Logo.js                     | JavaScript       |         25 |          0 |          4 |         29 |
| c:\Users\sad sad\Desktop\React\app\src\components\Navbar\MobileNavbar.js             | JavaScript       |         76 |          0 |          5 |         81 |
| c:\Users\sad sad\Desktop\React\app\src\components\Navbar\NavLink.js                  | JavaScript       |         34 |          0 |          5 |         39 |
| c:\Users\sad sad\Desktop\React\app\src\components\Navbar\Navbar.js                   | JavaScript       |         82 |          0 |          9 |         91 |
| c:\Users\sad sad\Desktop\React\app\src\components\Navbar\Option.js                   | JavaScript       |         65 |          0 |          6 |         71 |
| c:\Users\sad sad\Desktop\React\app\src\components\Navbar\UserRouter.js               | JavaScript       |         25 |          0 |          8 |         33 |
| c:\Users\sad sad\Desktop\React\app\src\components\UserJob\UserJobList.js             | JavaScript       |        179 |          0 |         16 |        195 |
| c:\Users\sad sad\Desktop\React\app\src\components\UserList\UserList.js               | JavaScript       |         44 |          0 |          4 |         48 |
| c:\Users\sad sad\Desktop\React\app\src\components\UserSettings\Router.js             | JavaScript       |         82 |          0 |          9 |         91 |
| c:\Users\sad sad\Desktop\React\app\src\components\UserSettings\Text.js               | JavaScript       |         27 |          0 |          5 |         32 |
| c:\Users\sad sad\Desktop\React\app\src\i18n\LanguageChanger.js                       | JavaScript       |         18 |          0 |          4 |         22 |
| c:\Users\sad sad\Desktop\React\app\src\i18n\i18n.js                                  | JavaScript       |         16 |          0 |          7 |         23 |
| c:\Users\sad sad\Desktop\React\app\src\index.js                                      | JavaScript       |         46 |          0 |          5 |         51 |
| c:\Users\sad sad\Desktop\React\app\src\layout\Layout.js                              | JavaScript       |         18 |          1 |          9 |         28 |
| c:\Users\sad sad\Desktop\React\app\src\pages\Dashboard.js                            | JavaScript       |        101 |          0 |          9 |        110 |
| c:\Users\sad sad\Desktop\React\app\src\pages\JobActions\AddJob.js                    | JavaScript       |        363 |          1 |         17 |        381 |
| c:\Users\sad sad\Desktop\React\app\src\pages\JobActions\DeleteJob.js                 | JavaScript       |         56 |         57 |         14 |        127 |
| c:\Users\sad sad\Desktop\React\app\src\pages\JobDetails.js                           | JavaScript       |         87 |          0 |          8 |         95 |
| c:\Users\sad sad\Desktop\React\app\src\pages\UserDashboard.js                        | JavaScript       |         61 |          0 |          5 |         66 |
| c:\Users\sad sad\Desktop\React\app\src\pages\UserProfiles.js                         | JavaScript       |         33 |          0 |          8 |         41 |
| c:\Users\sad sad\Desktop\React\app\src\pages\User\Login.js                           | JavaScript       |         97 |          0 |          8 |        105 |
| c:\Users\sad sad\Desktop\React\app\src\pages\User\Logout.js                          | JavaScript       |         13 |          0 |         12 |         25 |
| c:\Users\sad sad\Desktop\React\app\src\pages\User\Profile.js                         | JavaScript       |        114 |          0 |         13 |        127 |
| c:\Users\sad sad\Desktop\React\app\src\pages\User\RecoverPassword.js                 | JavaScript       |         84 |          0 |          6 |         90 |
| c:\Users\sad sad\Desktop\React\app\src\pages\User\Settings.js                        | JavaScript       |        129 |        118 |         23 |        270 |
| c:\Users\sad sad\Desktop\React\app\src\pages\User\Signup.js                          | JavaScript       |        118 |          0 |          7 |        125 |
| c:\Users\sad sad\Desktop\React\app\src\pages\User\VerifyEmail.js                     | JavaScript       |         41 |          0 |          6 |         47 |
| c:\Users\sad sad\Desktop\React\app\src\store\actions\actionTypes.jsx                 | JavaScript React |         23 |          0 |          7 |         30 |
| c:\Users\sad sad\Desktop\React\app\src\store\actions\authActions.jsx                 | JavaScript React |        146 |          8 |         13 |        167 |
| c:\Users\sad sad\Desktop\React\app\src\store\actions\index.jsx                       | JavaScript React |          2 |          0 |          1 |          3 |
| c:\Users\sad sad\Desktop\React\app\src\store\actions\jobActions.jsx                  | JavaScript React |         75 |          4 |          7 |         86 |
| c:\Users\sad sad\Desktop\React\app\src\store\index.jsx                               | JavaScript React |         27 |          1 |          6 |         34 |
| c:\Users\sad sad\Desktop\React\app\src\store\reducers\authReducer.jsx                | JavaScript React |         99 |          6 |         19 |        124 |
| c:\Users\sad sad\Desktop\React\app\src\store\reducers\index.jsx                      | JavaScript React |         12 |          0 |          3 |         15 |
| c:\Users\sad sad\Desktop\React\app\src\store\reducers\jobReducer.jsx                 | JavaScript React |         39 |          1 |         10 |         50 |
| Total                                                                                |                  |      4,915 |        208 |        525 |      5,648 |
+--------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
